url	label	direct_quotes	remaining_quote_chars	tokens	sentences	avg_sentence_length	digits	digits_perc	currency_symbols	currency_symbols_perc	exclamation_marks	exclamation_marks_perc	question_marks	question_marks_perc	pronoun_1	pronoun_1_perc	pronoun_1_perc_rel	pronoun_2	pronoun_2_perc	pronoun_2_perc_rel	pronoun_3	pronoun_3_perc	pronoun_3_perc_rel	adjectives	adjectives_perc	modal_verbs	modal_verbs_perc	modal_adverbs	modal_adverbs_perc	intensifiers	intensifiers_perc	cogn_verbs	cogn_verbs_perc	named_entities	named_entities_perc	named_entities_pos	unique_named_entities	self_cl_1	self_cl_2	self_cl_3	self_cl_4	self_cl_5	self_cl_6	self_cl_7	self_cl_8	self_cl_3-4	self_cl_3-8
http://resolver.kb.nl/resolve?urn=KBNRC01:000034630:mpeg21:a0034:ocr	3	5	0	973	52	18	78	0.013727560718057022	0	0.0	1	0.00017599436818021823	0	0.0	1	0.0010277492291880781	0.041666666666666664	0	0.0	0.0	23	0.023638232271325797	0.9583333333333334	80	0.08221993833504625	14	0.014388489208633094	0	0.0	3	0.003083247687564234	3	0.003083247687564234	35	0.03597122302158273	0.49173395977095874	0.7142857142857143	0	0	0	0	0	0	0	0	0	0
http://resolver.kb.nl/resolve?urn=KBNRC01:000034630:mpeg21:a0035:ocr	5	1	0	695	28	24	0	0.0	0	0.0	0	0.0	1	0.0002378686964795433	1	0.0014388489208633094	0.07142857142857142	0	0.0	0.0	13	0.01870503597122302	0.9285714285714286	71	0.10215827338129496	22	0.031654676258992806	1	0.0014388489208633094	2	0.0028776978417266188	3	0.004316546762589928	47	0.06762589928057554	0.4745446196234502	0.48936170212765956	0	0	0	0	1	0	1	0	0	0
http://resolver.kb.nl/resolve?urn=KBNRC01:000034630:mpeg21:a0039:ocr	4	3	0	648	28	23	6	0.0015212981744421906	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0	0.0	0.0	8	0.012345679012345678	1.0	37	0.05709876543209876	17	0.026234567901234566	0	0.0	0	0.0	4	0.006172839506172839	23	0.035493827160493825	0.24818840579710147	0.7391304347826086	0	0	0	0	0	0	0	0	0	0
http://resolver.kb.nl/resolve?urn=KBNRC01:000034630:mpeg21:a0041:ocr	4	6	2	290	10	29	4	0.002151694459386767	0	0.0	0	0.0	0	0.0	3	0.010344827586206896	0.3	0	0.0	0.0	7	0.02413793103448276	0.7	25	0.08620689655172414	4	0.013793103448275862	0	0.0	2	0.006896551724137931	4	0.013793103448275862	11	0.03793103448275862	0.42131661442006274	0.7272727272727273	0	0	0	0	0	0	0	0	0	0
http://resolver.kb.nl/resolve?urn=KBNRC01:000034630:mpeg21:a0042:ocr	1	0	0	148	9	16	4	0.004296455424274973	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0	0.0	0.0	3	0.02027027027027027	1.0	15	0.10135135135135136	1	0.006756756756756757	0	0.0	1	0.006756756756756757	2	0.013513513513513514	10	0.06756756756756757	0.33716216216216216	0.6	0	0	0	0	0	0	0	0	0	0
http://resolver.kb.nl/resolve?urn=KBNRC01:000034630:mpeg21:a0044:ocr	7	1	0	463	23	20	52	0.01844625753813409	0	0.0	0	0.0	0	0.0	2	0.004319654427645789	0.5	0	0.0	0.0	2	0.004319654427645789	0.5	42	0.09071274298056156	2	0.004319654427645789	0	0.0	8	0.017278617710583154	0	0.0	20	0.04319654427645788	0.6715982721382289	0.85	0	0	0	0	0	0	0	0	0	0
http://resolver.kb.nl/resolve?urn=KBNRC01:000034630:mpeg21:a0045:ocr	7	1	2	250	11	22	8	0.005423728813559322	0	0.0	0	0.0	0	0.0	6	0.024	0.6	1	0.004	0.1	3	0.012	0.3	22	0.088	0	0.0	0	0.0	3	0.012	0	0.0	2	0.008	0.928	1.0	0	0	0	0	0	0	0	0	0	0
http://resolver.kb.nl/resolve?urn=KBNRC01:000034630:mpeg21:a0047:ocr	1	0	0	188	10	18	3	0.0027829313543599257	0	0.0	0	0.0	0	0.0	0	0.0	0.0	0	0.0	0.0	13	0.06914893617021277	1.0	9	0.047872340425531915	6	0.031914893617021274	0	0.0	0	0.0	3	0.015957446808510637	16	0.0851063829787234	0.340093085106383	0.5	0	0	0	0	0	0	0	0	0	0
http://resolver.kb.nl/resolve?urn=KBNRC01:000034630:mpeg21:a0048:ocr	1	1	1	234	11	21	5	0.0037174721189591076	1	0.0007434944237918215	0	0.0	0	0.0	1	0.004273504273504274	0.06666666666666667	0	0.0	0.0	14	0.05982905982905983	0.9333333333333333	13	0.05555555555555555	5	0.021367521367521368	0	0.0	3	0.01282051282051282	5	0.021367521367521368	4	0.017094017094017096	0.22115384615384615	0.5	0	0	0	0	0	0	0	0	0	0
http://resolver.kb.nl/resolve?urn=KBNRC01:000034630:mpeg21:a0056:ocr	7	23	27	701	31	22	31	0.008938869665513265	0	0.0	3	0.0008650519031141869	2	0.0005767012687427913	1	0.0014265335235378032	0.1111111111111111	7	0.009985734664764621	0.7777777777777778	1	0.0014265335235378032	0.1111111111111111	29	0.04136947218259629	8	0.011412268188302425	0	0.0	1	0.0014265335235378032	1	0.0014265335235378032	52	0.07417974322396577	0.550395040052672	0.5384615384615384	0	0	0	0	1	0	0	0	0	0
